(15442, 1206, -1101, -5225) (143, 374, 1880)
(15441, 1211, -1108, -5226) (176, 379, 1871)
(15441, 1207, -1114, -5225) (215, 289, 1825)
(15440, 1230, -1117, -5222) (164, 300, 1892)
(15440, 1253, -1130, -5215) (173, 514, 1893)
(15444, 1214, -1122, -5212) (160, 200, 1808)
(15445, 1238, -1129, -5202) (155, 366, 1955)
(15447, 1247, -1132, -5194) (157, 437, 1849)
pose Pose.FIST
(15449, 1242, -1133, -5188) (192, 331, 1917)
(15449, 1267, -1132, -5183) (163, 398, 1789)
(15451, 1266, -1126, -5178) (157, 387, 1870)
(15453, 1257, -1125, -5175) (150, 369, 1946)
(15455, 1241, -1127, -5174) (177, 324, 1930)
(15455, 1243, -1136, -5172) (201, 328, 1910)
(15454, 1265, -1145, -5168) (187, 394, 1874)
(15452, 1293, -1151, -5162) (169, 409, 1811)
(15452, 1315, -1154, -5159) (140, 450, 1755)
(15452, 1310, -1149, -5161) (154, 424, 1963)
(15452, 1288, -1136, -5167) (139, 320, 1857)
(15450, 1286, -1130, -5176) (125, 301, 1962)
(15446, 1299, -1140, -5183) (186, 365, 1927)
(15440, 1324, -1158, -5191) (210, 350, 1902)
(15433, 1368, -1179, -5196) (188, 384, 1909)
(15426, 1415, -1197, -5200) (153, 374, 1911)
(15419, 1462, -1216, -5201) (157, 347, 1926)
(15411, 1529, -1234, -5201) (117, 291, 1936)
(15399, 1630, -1264, -5200) (97, 351, 1955)
(15382, 1757, -1316, -5197) (167, 435, 1923)

